Cycle,HJD_UTC,BJD_TDB,O-C(days),Error,Date,Source
108190,2458938.64077,2458938.64161,-0.00266775162890553,5.1E-4,2020 Mar 29,AAVSO
108193,2458939.04593,2458939.04677,-0.00232316739857197,1.6E-4,2020 Mar 30,AAVSO
108200,2458939.99043,2458939.99127,-0.00239247130230069,4.8E-4,2020 Mar 30,AAVSO
108205,2458940.66508,2458940.66592,-0.00243483111262321,2.3E-4,2020 Mar 31,AAVSO
108249,2458946.60231,2458946.60315,-0.00249759759753942,4.4E-4,2020 Apr 07,AAVSO
108260,2458948.08673,2458948.08757,-0.00240078894421458,0.00139,2020 Apr 09,AAVSO
108264,2458948.62636,2458948.6272,-0.00252467673271894,0.00124,2020 Apr 09,AAVSO
108266,2458948.89618,2458948.89702,-0.00258162058889866,2.5E-4,2020 Apr 09,AAVSO
108267,2458949.0311,2458949.03194,-0.00260009244084358,0.00106,2020 Apr 10,AAVSO
108272,2458949.70639,2458949.70723,-0.0020024529658258,0.00102,2020 Apr 10,AAVSO
108319,2458956.04779,2458956.04863,-0.00271063484251499,5.8E-4,2020 Apr 17,AAVSO
108348,2458959.96145,2458959.96229,-0.00226632179692388,3.9E-4,2020 Apr 20,AAVSO
108405,2458967.6525,2458967.65334,-0.00270922342315316,3.1E-4,2020 Apr 28,AAVSO
108412,2458968.59722,2458968.59806,-0.00255852704867721,2.8E-4,2020 Apr 29,AAVSO
108442,2458972.64555,2458972.64639,-0.00238268636167049,3.4E-4,2020 May 03,AAVSO
108452,2458973.99473,2458973.99557,-0.00258740596473217,4.8E-4,2020 May 04,AAVSO
108459,2458974.93952,2458974.94036,-0.00236670998856425,0.00104,2020 May 05,AAVSO
108464,2458975.61398,2458975.61482,-0.00259906984865665,3.4E-4,2020 May 06,AAVSO
108466,2458975.8838,2458975.88464,-0.00265601370483637,1.8E-4,2020 May 06,AAVSO
108467,2458976.01858,2458976.01942,-0.00281448569148779,7.2E-4,2020 May 07,AAVSO
108555,2458987.89339,2458987.894232,-0.00258801784366369,4E-4,2020 May 18,AAVSO
